,RESULT
50843,0
2269,0
51452,1
13789,0
8978,1
34649,1
23176,2
7262,0
46014,0
34903,0
43886,0
32913,1
46520,1
38091,0
44287,3
39622,0
15034,0
18861,2
28593,1
7397,1
51143,0
34642,0
38317,0
33943,1
30380,1
26273,0
46524,0
49814,3
37232,1
10196,0
4047,0
31141,0
23048,4
49503,2
34794,1
51348,0
26325,1
27671,1
47031,1
1672,1
15511,0
9783,1
41931,0
6417,1
17066,1
38510,0
17498,0
37460,0
14686,0
36840,0
30960,2
22963,0
28874,1
12359,0
2557,1
1772,0
44037,0
19702,0
22111,0
34883,0
32134,1
34939,1
23994,0
44921,1
37178,0
48903,4
34148,1
22824,1
31687,0
20040,1
32915,0
39507,1
47877,0
48942,0
46735,0
52146,0
7160,1
19750,2
23198,0
50607,0
45541,1
49799,1
3904,0
26311,3
4155,4
32562,0
8326,2
33597,1
4640,1
26527,3
743,3
23962,4
2444,0
45614,0
41170,0
31985,0
27277,2
20919,0
50062,0
24583,1
12888,0
21401,0
35820,1
41220,1
13758,1
15622,0
7188,2
29519,4
7965,0
34409,0
20071,1
2933,0
13355,0
33007,1
12031,0
23393,0
36627,1
33458,0
44679,0
344,1
17628,0
41818,3
29039,0
28146,0
47613,4
5613,0
25896,2
47556,1
46089,0
12369,0
23195,1
32013,0
52345,1
5584,1
23768,0
3925,2
13562,0
44686,2
28798,4
2952,0
38159,1
14348,4
26121,4
41408,4
28700,1
130,0
25449,0
13495,4
14598,0
2140,0
29894,1
48053,4
26686,3
48521,1
43433,1
32847,0
50659,2
50229,0
25643,0
47377,0
10883,1
16773,0
17207,0
12787,0
48771,1
40573,2
490,1
31818,3
234,0
35630,0
46042,1
14161,0
24068,0
19835,0
4256,0
50926,1
32757,1
36860,1
50977,3
48994,1
31652,2
13614,2
3759,2
38785,1
16053,4
19517,0
23801,0
45770,0
43733,0
37286,1
25025,0
49939,2
40230,0
1341,0
11596,0
43868,0
40938,3
4828,2
16794,0
49185,4
18336,1
26516,0
7921,1
41240,1
5314,1
9311,0
24007,1
944,1
18081,0
22317,0
2944,1
1670,1
18853,0
23793,0
36913,0
18618,0
11772,0
18031,0
42208,0
38155,0
37134,0
28550,1
29763,4
17268,3
38426,1
18151,1
47091,1
49665,0
28791,0
29172,0
13755,1
39423,0
4866,4
27385,4
31820,1
2529,0
17758,0
50008,1
38960,0
10225,0
944,1
17187,1
5648,1
1526,1
34937,0
26679,4
45978,0
23700,1
40672,0
49409,4
20741,1
31868,1
4171,4
31859,0
29866,0
36167,4
42868,0
26532,4
38166,0
278,2
24172,0
40820,0
10438,0
42317,0
51388,0
49693,0
17765,4
2782,0
33193,4
38466,2
10331,0
4359,0
44694,0
33586,1
24821,0
44898,3
49954,4
52644,0
21471,0
35219,1
7316,1
2947,0
29981,0
48610,4
30218,0
30013,0
34144,0
15563,0
3000,0
27468,4
19511,0
41563,2
21815,0
2533,3
3354,2
10244,0
39679,0
9664,0
25435,2
32072,0
37368,0
40254,0
21587,1
3787,2
13918,1
33046,0
24729,1
19638,0
44284,1
33951,0
49113,0
15727,0
20131,0
41187,0
23680,2
49119,4
22549,1
17423,0
15509,0
28012,2
28522,2
40710,0
39721,0
17372,1
29204,1
36830,0
48139,2
4922,0
48007,4
5219,0
51943,0
28782,0
47858,0
7607,1
17512,1
30625,1
19683,0
50582,3
41277,4
26711,2
2515,1
39278,0
34239,0
30351,1
4222,1
15177,2
17290,1
34333,1
18059,2
3551,2
20840,0
48458,4
23176,2
16446,1
4505,0
30389,0
43671,0
46987,0
22522,0
24434,0
48230,0
32702,2
27817,0
786,0
20108,0
10967,0
23257,0
47164,0
45499,4
39808,0
45109,0
22266,1
17791,1
36507,0
8326,2
7140,0
43064,1
18668,4
32765,0
16727,0
46449,1
27818,0
6385,0
15954,3
47371,1
4283,1
15264,0
743,3
27841,0
3294,0
36863,3
38017,0
5859,0
36566,0
18286,4
50363,0
44804,0
4567,2
49401,2
41563,2
25127,0
4085,0
2764,1
31077,0
18257,1
4418,0
41623,4
37742,0
34849,0
32202,0
2605,1
13389,2
19771,0
46852,1
40918,2
20552,1
22408,1
29085,2
34714,1
30743,0
30825,2
15941,1
46878,0
22899,1
45580,1
39489,3
8372,0
28540,0
50049,2
44332,0
16330,0
37896,0
6642,1
24108,0
42685,1
12629,0
36807,1
6554,1
38208,1
18794,0
41211,2
40814,1
21584,0
38938,2
3049,1
15201,1
40809,1
44829,0
39897,0
37313,0
5743,1
20704,0
14094,1
5479,0
6078,1
51200,0
1670,1
13570,0
10181,0
14348,4
5304,0
19062,0
45151,1
17108,1
32134,1
14593,0
26395,4
10506,1
10909,0
50220,4
49772,0
17491,0
5187,1
796,0
22268,0
34945,0
15462,0
32250,4
32865,1
32279,0
8058,1
22153,0
35702,0
39650,0
37363,0
19552,0
52416,4
48904,0
31925,0
44043,0
30492,4
10667,0
47897,1
20509,0
22553,1
30954,2
23108,1
14416,0
39458,1
22706,0
35423,2
35786,0
192,0
24368,0
42347,2
6608,0
38321,0
18967,0
38209,2
24117,0
50829,1
24539,1
33407,3
28560,0
41591,0
6901,0
44287,3
4170,2
47449,0
29609,1
25746,0
36861,1
1898,1
22409,0
50793,0
46195,1
22804,0
32252,4
50980,0
1506,1
29108,4
44922,0
35781,0
849,0
49100,0
48980,1
3550,4
39024,3
43190,0
13864,0
11520,0
5201,2
34610,1
23723,2
31815,0
12614,0
34207,0
12939,4
3403,0
27351,4
4867,4
45136,0
26499,1
36410,2
47409,1
3460,0
49754,0
14539,0
11650,0
9649,0
46780,1
40103,0
51049,0
24688,0
51309,0
5785,0
38200,2
49160,0
33041,0
45878,0
24016,0
12603,0
41011,0
18900,2
9252,0
13639,0
30152,0
9543,0
17813,0
29414,1
37416,0
3664,0
10833,0
8362,2
45848,0
28676,0
6991,0
7763,0
39761,0
9473,2
24669,0
25698,1
881,0
12510,1
15126,1
39232,0
26840,0
5016,3
19348,1
17657,3
27303,0
7197,0
5366,1
2752,1
48698,0
34904,1
1986,0
45932,0
47458,4
9356,3
37415,0
16718,1
48887,0
2686,0
13284,0
14903,0
17413,0
8952,0
42594,1
47290,4
19574,0
22926,2
16975,1
20849,0
31028,1
34604,1
19256,0
35956,1
27710,1
26309,4
42822,2
37956,0
47277,0
39410,0
18102,2
38268,0
11995,3
26531,0
16258,0
47902,1
12841,1
47664,1
51300,1
10949,0
39536,0
32326,1
11250,1
21381,1
11948,0
42623,0
5384,1
48192,1
33593,0
34218,2
5231,4
24192,0
41437,2
33208,0
50810,2
44179,2
36691,0
31533,2
20741,1
20163,3
15114,1
27563,1
9728,1
49654,4
30693,4
13506,0
7130,0
18750,1
5947,0
21905,0
21685,0
10357,0
30528,1
31002,4
45787,1
13452,0
20240,0
25348,2
46782,0
16227,0
47293,3
17591,0
11509,0
24339,1
32385,1
49266,0
15498,1
46655,0
18384,0
2803,1
32047,0
40814,1
8656,2
49659,4
25813,2
32166,1
52619,0
40954,0
25987,1
24633,0
31737,0
49385,1
16377,3
20591,0
46911,0
49309,1
38275,0
19444,2
39458,1
24339,1
7359,0
15796,0
50125,1
1650,1
12420,0
27320,4
2174,1
3075,1
16537,2
44275,1
8448,0
30541,0
45719,1
6872,0
286,0
33755,0
19387,1
8568,0
7666,0
38488,1
37934,1
27265,0
48618,0
19509,0
47092,1
32045,0
28158,0
21081,0
4611,0
49739,1
26060,2
44200,1
16178,0
7081,1
31944,0
25382,1
1282,0
29552,0
44838,1
51889,1
34181,1
6802,0
5496,2
5540,0
31637,4
1809,0
10458,2
51221,0
7413,1
45976,0
14268,2
49750,4
25122,0
5046,4
36318,1
48493,1
2436,2
5703,1
33932,0
43788,3
31666,3
40944,4
42831,1
34979,0
37572,0
29387,0
26697,4
37995,1
32779,0
37688,3
45863,1
14175,0
48513,0
26216,1
50052,0
8104,0
39310,0
25171,0
19098,3
21323,0
36128,1
10891,0
25402,0
27459,4
43944,1
40621,2
10305,0
8303,0
46877,1
42085,1
15429,0
38721,1
5902,0
32741,1
14278,1
44119,1
21303,1
2621,0
40072,2
45632,0
9589,0
43577,0
23401,1
31922,3
12155,0
7407,1
32819,4
48806,4
7399,0
47517,0
14388,0
27247,0
17117,0
33845,0
34333,1
1377,0
36673,0
43985,2
48767,0
41143,0
9606,0
25591,0
10952,0
10858,0
26074,4
45985,3
1711,3
41251,0
32814,0
33255,2
15453,0
24993,0
15574,1
30777,0
1651,1
13403,0
10126,0
10037,0
7204,0
51345,1
42361,1
39272,0
37032,4
8717,0
37121,0
1743,1
4097,0
5406,0
31482,4
30986,0
1940,0
32492,1
13992,0
35656,4
39163,0
11659,1
20951,1
17043,0
32472,1
43521,1
3654,4
12695,0
22892,1
1699,2
48932,0
18224,0
2129,0
2128,0
46145,1
15095,3
47709,0
30437,1
19081,0
36827,2
45403,0
11767,0
971,0
4133,0
30241,1
45455,0
44101,1
22539,0
35070,0
30539,0
26532,4
50841,0
18270,1
43038,0
27994,2
8344,0
29223,0
41470,4
44596,1
21116,1
52614,0
50210,2
44311,2
42795,4
886,0
28653,4
44429,0
23961,0
12409,2
6886,1
12144,0
46432,0
49505,0
34736,0
51643,0
5839,3
17049,4
9307,0
38745,2
8557,1
29218,0
5015,0
49732,0
41522,0
31180,1
45346,0
35962,1
31364,4
2409,0
29217,4
19565,2
14181,0
23142,0
12189,0
18544,0
31321,0
21992,2
25997,0
48194,0
46121,3
2225,2
29098,1
4009,0
51622,0
47701,1
34003,0
40935,0
38484,1
10376,0
11933,1
19282,4
49877,0
8231,0
51003,0
1409,1
39522,0
34707,1
17094,0
19127,0
14151,2
27264,4
43539,0
36095,2
3579,1
21091,0
5395,4
9124,0
48514,0
51186,2
43834,4
5162,0
39078,0
45877,0
25874,0
47393,0
43482,1
50818,0
32986,0
8156,1
41843,1
29801,2
13533,2
14335,4
14834,0
2271,0
4296,0
9865,3
30660,0
10220,1
22705,0
24248,0
37043,0
2073,0
20931,0
1468,0
8363,0
16194,0
7502,0
50598,1
19753,0
24818,0
26114,4
8711,0
30912,0
1463,2
32718,0
17615,2
38483,1
31926,0
40838,1
29383,4
43562,0
9893,2
51060,1
28735,0
48110,1
44544,1
11223,1
19394,1
36096,0
26606,3
50592,3
17131,1
48364,0
9737,1
36477,0
46349,0
47940,2
41968,0
13361,0
38726,1
23496,0
17815,1
7684,0
12303,2
40839,1
26296,0
29116,1
5642,2
25724,0
47746,0
12592,0
41364,4
27168,0
4338,4
50570,1
24429,1
45647,0
162,0
26894,0
862,0
31774,1
17665,0
18804,0
46666,1
3934,1
9849,0
46505,4
33113,0
22858,0
30698,1
7926,2
27993,0
47839,0
17794,4
3905,0
46125,2
12522,0
29817,0
30330,4
8978,1
12062,0
4564,0
21620,0
40652,0
36847,1
49468,1
30323,4
7626,0
25146,1
38195,2
24915,0
25434,1
36007,1
34332,1
24263,0
34998,0
43141,1
4881,0
34657,0
24429,1
30869,3
18920,1
25534,1
17312,0
15333,0
25693,0
50766,0
3745,1
20071,1
46589,4
1586,1
37231,1
32042,2
902,0
35047,0
48391,1
50176,0
43178,0
20342,0
34240,0
21554,0
52354,2
10029,0
46633,1
51534,2
21020,0
3988,2
31074,0
6235,0
43695,0
28437,2
34649,1
41553,0
48012,1
43400,1
44222,2
32526,0
45174,1
2287,1
46606,0
12326,0
5462,0
36635,1
11981,0
2769,0
9009,0
11349,0
17103,0
52275,1
32504,0
20932,0
41607,3
15542,2
41551,0
2264,0
40867,0
28275,1
11984,0
50578,0
48823,1
33065,1
7914,2
5745,1
6312,0
51413,1
32050,0
36992,0
10800,3
12550,0
19203,2
48841,2
29206,1
47413,0
11397,1
134,0
11751,3
39505,2
5319,1
47818,2
47438,2
30622,0
7036,0
16113,0
6603,0
33117,0
373,2
14787,0
21928,1
3143,1
23683,0
42361,1
45374,0
42259,0
44228,2
27505,2
14839,1
9682,0
20304,1
52405,0
37867,0
47374,1
50431,1
3836,0
7444,1
22882,1
45400,0
46145,1
27080,1
9588,4
19633,0
12325,0
38334,2
8771,0
12206,1
40813,3
7418,2
20784,1
40743,0
48205,1
32736,0
18799,0
21806,4
5906,0
18963,0
12778,0
52586,4
10205,0
52162,0
23132,0
50071,1
48025,0
4789,1
22808,0
15704,1
7068,0
3714,0
37627,0
52423,4
40845,2
16728,0
27558,1
25532,0
25924,1
37370,1
17506,0
48611,0
47262,0
13827,1
27640,3
24539,1
1651,1
36822,4
40298,2
16177,0
15317,1
48084,0
22635,0
44560,0
26009,4
36352,0
22048,1
44222,2
49555,0
10164,0
17472,1
39140,0
46536,0
45232,1
22863,0
32432,0
16622,0
48426,4
29632,4
28950,4
27286,4
27074,0
49331,1
21993,2
35433,0
8700,0
50543,2
6303,0
37756,1
41839,1
47491,1
31869,1
16902,0
38567,0
23064,1
33675,0
29159,2
3511,1
30613,0
8737,0
14156,0
52320,2
38766,0
14133,0
42958,0
22940,0
35566,1
3498,1
13061,0
44200,1
41220,1
37016,2
1481,1
21659,0
17566,1
5757,1
21621,0
41034,1
33537,0
16826,0
4980,0
17270,2
34706,0
36976,2
42401,0
37639,0
9896,3
9704,0
38151,0
25003,0
12728,0
35414,2
31373,4
929,1
38938,2
48409,1
25427,4
10068,0
48499,0
12165,1
49675,0
29272,0
4024,0
6733,2
30210,0
37334,0
28241,0
34895,1
29618,1
4702,0
5825,1
43207,0
16446,1
6952,0
12981,0
45266,1
808,0
44980,0
51310,1
20676,0
31399,2
40441,0
51283,0
38324,0
43548,0
27268,0
44465,2
51765,0
51793,1
10976,2
32184,1
15163,1
24698,0
31221,0
39959,0
52334,0
52291,1
49388,0
30823,1
47931,0
6553,2
5520,3
36575,0
23475,0
43534,0
48814,2
32434,0
20881,0
27482,4
542,0
37870,2
14968,1
52105,0
43261,3
23696,0
44788,4
2683,0
22245,1
49035,2
41877,0
42846,1
33659,0
5900,0
17320,0
5810,0
35881,0
14848,1
7075,0
39018,2
38715,2
51628,1
2259,0
48894,0
48814,2
25472,2
5393,0
33553,0
7758,1
6916,0
42924,0
49615,4
39438,0
23048,4
16976,1
27706,2
44059,0
20836,0
46223,2
46884,0
29771,2
12540,3
14086,3
24217,1
17968,1
28110,0
16730,0
7739,0
44720,0
40917,2
48532,3
7234,1
34479,1
40032,0
18308,0
17868,0
48491,0
34562,0
7741,0
28567,0
23730,2
44584,0
17605,0
8420,1
17027,0
49800,1
2243,1
28372,0
29242,0
51800,0
182,0
29897,4
3829,0
15179,0
6206,2
26333,1
30088,0
22856,0
40784,1
2219,1
12201,0
36260,0
31441,0
30915,1
50837,0
46731,1
30245,0
51443,1
3979,4
22535,1
51168,1
308,4
35577,1
33078,0
17634,0
39632,0
41570,1
3398,1
51606,1
35982,0
49370,1
39022,1
32345,0
27533,1
38055,3
28217,0
51961,1
682,0
46981,1
9083,1
47832,4
32163,2
379,1
18497,0
28250,0
205,1
38902,1
42097,4
5855,2
41169,1
1420,4
27136,0
23576,0
16414,0
27675,1
34076,0
15705,1
43364,2
11348,0
30963,4
43039,0
46614,0
28269,0
44083,4
19996,0
47805,0
20686,0
44475,2
26114,4
52513,1
27710,1
14678,1
34185,2
4273,0
3628,0
15167,0
27489,4
22548,0
32462,2
7584,0
19985,0
13190,0
12960,0
5949,0
21660,0
39,0
47851,1
52549,2
34226,3
217,3
43438,4
19671,1
20315,0
51363,1
26948,4
14110,1
16513,0
7096,2
27753,0
5105,4
20511,0
21231,1
8320,2
32759,0
11597,0
22592,4
44159,0
16740,1
42217,3
16916,1
48485,3
10220,1
38072,1
43500,3
35358,1
1365,1
30602,0
51359,3
29704,0
39952,0
30973,0
37697,0
2859,0
8287,2
50457,1
44843,1
18974,0
29369,4
35396,1
50221,1
41530,0
12989,0
19957,1
44849,1
50414,1
29096,1
42705,0
5242,3
11379,1
12200,0
22490,1
13043,0
45724,0
18964,3
25524,2
45798,3
649,1
19669,1
44328,0
7085,1
40437,1
38200,2
5384,1
32229,0
25314,0
22225,0
37940,0
6171,0
6654,1
33748,2
18917,0
32306,3
18494,0
34543,1
43055,0
12595,0
6316,0
39249,0
39481,0
8001,0
18994,0
34275,0
39838,2
2654,1
39573,0
40437,1
1883,0
2938,3
24070,1
40611,0
26939,2
46582,1
36763,1
13694,0
6950,0
51503,1
44930,1
21655,0
20547,0
25424,0
48283,2
22904,0
25607,1
20816,0
25502,1
15459,1
47475,0
11521,0
30392,1
8339,1
24805,0
9820,2
7188,2
45025,1
45829,1
27720,0
22089,1
331,1
23582,1
26136,0
4773,0
34306,1
1831,1
19011,1
24737,0
20281,0
7101,1
29927,2
12930,1
41478,1
31607,3
49720,2
47374,1
38445,0
51169,0
27508,2
47611,1
51522,1
14699,0
28648,4
7885,1
21420,0
37156,0
1981,0
11461,0
41343,0
36301,1
21248,2
8432,0
40864,0
47903,1
35759,0
43768,0
21338,0
51391,4
10373,0
28384,0
16911,0
1725,2
47946,0
29877,1
51019,1
14463,0
28140,1
17854,2
31484,0
23985,0
44799,1
36943,1
44813,1
45970,0
38456,1
49807,0
7292,1
19462,0
43301,0
11850,1
48205,1
17943,0
26544,0
40532,0
49219,0
2243,1
337,2
24523,0
24456,0
41573,4
51446,3
9853,1
26862,1
5186,2
50505,0
20807,0
14934,0
11998,0
29486,4
26375,1
50385,0
49053,1
33826,3
49201,1
18128,0
1660,1
5734,0
51961,1
21880,2
30375,0
9016,0
13287,2
20640,0
24884,1
47434,1
15945,0
31346,0
43602,3
17336,0
27550,2
15315,0
46577,2
31445,0
34707,1
29407,0
12006,0
36873,1
15312,0
36764,0
3679,4
12619,0
30475,0
45879,0
1198,0
11475,1
26532,4
49046,3
42534,2
45931,0
36273,0
20299,0
5362,1
15323,0
29129,0
7004,2
26010,3
44450,4
1708,1
37830,0
30744,0
11661,0
6035,0
43515,0
42564,1
11059,0
7919,0
34092,2
50573,1
18315,1
11653,0
43167,0
26844,4
22603,1
24901,0
2999,4
29220,4
11955,1
26910,1
32696,0
36723,0
34567,1
31054,2
32557,0
44393,1
15649,4
8561,3
36905,0
24838,0
36264,1
20612,1
34738,0
29414,1
50625,1
20333,0
5751,1
43745,0
26329,0
10641,0
49512,3
25827,2
37789,0
38519,1
41765,0
3941,0
19619,0
10595,0
44136,1
23941,2
30801,0
28548,1
31436,0
30960,2
52317,0
18956,0
14506,0
816,1
5610,1
34412,1
121,1
27862,0
42426,2
42098,0
48791,0
28847,2
23048,4
40,1
29156,1
42096,4
51957,0
43284,2
42407,1
22732,1
9527,1
49522,3
19750,2
20934,0
42524,0
10045,0
12676,0
34627,1
3911,1
22463,0
3109,0
29373,4
37781,4
45155,1
45388,0
14232,0
40612,1
7617,0
783,0
50757,0
41746,0
1942,1
28132,0
47026,0
7746,2
6174,3
39909,2
49838,2
28608,1
52249,0
25935,1
35520,2
44573,1
47478,0
6628,0
10628,0
14986,0
3917,4
38178,2
2213,0
43985,2
43891,0
40587,0
44690,1
4145,0
6380,0
35290,0
8017,2
28576,1
48909,4
8311,2
2189,0
45064,1
20053,0
13433,0
51837,0
36415,3
4631,2
5493,0
36405,0
2267,1
13262,0
48372,2
12539,0
15325,0
20964,1
25922,0
10932,2
27906,0
5494,1
34662,0
34040,0
34691,0
4232,1
2874,0
48415,0
15197,0
12706,2
42022,1
10558,0
30057,4
18820,1
36021,0
670,0
47423,0
52581,0
18954,0
20083,0
29379,0
18511,2
24572,0
26458,0
2219,1
24239,1
1427,1
17641,1
16521,0
18823,0
47673,0
12784,1
26697,4
36202,1
6665,4
23655,0
10915,0
13338,1
27115,4
36930,1
3972,0
30547,0
29372,4
41291,0
47099,1
27773,0
40536,0
44880,0
37997,0
37213,0
36129,4
22451,2
26650,0
32039,0
12163,0
25018,0
15739,1
26426,4
14456,0
20680,1
38367,0
15425,0
39874,4
35574,4
41949,1
51287,1
18478,3
6700,0
43553,1
34997,1
45795,0
17726,4
45786,3
30198,0
14373,0
51166,0
1256,1
27907,2
5156,0
38522,2
42059,0
31792,4
21198,0
24923,0
36583,0
6217,0
8051,0
49908,0
40053,2
51151,1
31503,4
43261,3
39418,0
34621,0
31935,0
32024,2
27292,4
22664,1
17636,4
1491,2
47702,2
50975,0
48852,2
51413,1
46849,1
17609,0
8022,0
4830,4
3097,1
4620,2
3248,1
48994,1
29391,0
37947,2
30532,0
19290,2
26828,4
50003,2
51196,1
17359,0
52567,4
36517,0
3253,2
5874,0
14866,0
13665,0
10675,0
12305,4
40440,0
46693,0
46581,1
1735,1
42531,0
46322,1
35916,1
5186,2
29183,0
16764,0
9855,1
48158,1
43985,2
45522,4
39657,0
37921,0
7668,0
38464,0
13641,0
34194,1
33681,0
50635,0
46718,1
49867,1
25556,1
2794,0
6905,4
17329,1
5095,0
962,0
22119,0
39019,0
5667,2
50982,0
14052,0
35127,2
2301,0
34567,1
11144,0
19017,0
10762,0
437,0
26639,1
36714,0
51648,1
40915,0
26853,4
24342,0
44326,0
16919,1
46287,2
50558,0
35202,2
18002,0
21641,0
32256,1
26557,2
23493,0
30774,4
52419,1
2544,0
119,1
13263,0
46005,0
16735,1
52297,3
51512,2
34007,1
46522,0
3738,4
50277,2
31716,0
41229,1
18319,0
19920,0
22803,0
18892,0
33473,1
38797,0
30884,0
26862,1
29738,0
44846,0
19247,0
34396,1
49538,1
36826,0
8361,1
32874,4
4836,0
45800,2
33954,0
12613,2
5240,0
3704,0
15607,1
11372,0
49668,1
41563,2
47974,0
29761,4
20208,3
11640,0
3451,0
6390,0
14916,1
29615,1
30447,1
18343,4
9663,0
20245,0
28252,1
26681,4
37330,0
52040,1
19061,1
24260,0
51023,1
1512,0
38559,0
1375,3
30157,4
42852,1
42948,0
19575,0
21362,0
45750,0
9926,0
33782,0
49545,1
12175,0
28382,1
4764,0
31680,0
43105,1
47793,4
31080,2
16013,0
7342,0
22089,1
26888,2
50277,2
7611,0
3231,1
43838,3
19330,1
3682,4
34385,1
38901,2
31385,3
43968,0
8423,1
12169,1
18226,0
50284,0
8274,0
10503,0
27652,0
18667,0
31151,0
49936,1
44016,1
20801,0
9787,0
30734,0
50277,2
14945,0
18256,0
48440,2
24152,0
1208,1
33873,0
42530,2
5993,0
28288,0
36034,0
5984,0
31028,1
5786,0
7696,0
34543,1
9061,0
47966,4
1611,2
14895,0
28156,1
13802,0
17834,0
38835,0
47747,0
6165,0
28255,1
43921,3
52366,0
46,1
10507,0
2764,1
33311,2
46767,4
52628,1
8938,1
13770,1
46976,0
20871,0
50746,0
11770,2
4314,0
43433,1
7646,0
3776,0
34164,0
37567,0
17864,0
44688,0
4963,0
41387,0
22892,1
30039,0
23401,1
34308,2
5425,2
39874,4
29458,1
32837,0
42011,2
51938,0
11168,1
33795,0
29473,4
35145,1
29955,0
15479,0
9470,0
41803,4
51251,1
17566,1
564,2
13107,2
45092,2
45104,0
35413,0
535,0
36202,1
4437,2
37640,1
31060,2
42852,1
4570,1
2219,1
426,0
39962,0
18693,1
15539,0
15619,0
26928,1
52425,0
8388,2
36234,2
869,0
25022,1
32131,0
32726,0
9334,2
12455,0
16253,1
35524,0
34475,1
581,1
22817,0
7013,1
26173,0
25461,2
51370,0
22552,1
5853,1
22796,0
51655,0
33489,1
41751,0
26385,4
37102,0
12447,4
10094,0
5001,0
43454,2
43809,3
25327,0
42557,0
11872,2
13853,1
42426,2
40876,1
43189,0
1078,1
11577,0
51885,3
35079,0
46644,1
28648,4
33172,0
23582,1
15125,1
44786,3
28276,4
50656,0
391,0
32903,2
34897,1
14764,0
52283,1
10764,0
29699,0
30568,0
51904,2
24473,0
4596,0
33229,0
31897,0
22886,0
51519,3
6825,0
19353,2
51738,0
16988,2
47388,0
6090,1
24831,0
51436,0
40342,2
6918,4
26499,1
36634,0
46550,0
21228,1
48348,0
355,1
37603,1
39660,1
563,0
48622,0
16184,0
5455,2
31468,0
24142,0
29719,0
43261,3
21705,0
32365,4
47153,1
25547,1
27646,2
15018,0
41430,0
46800,0
5442,0
35710,0
52605,1
45607,0
41443,1
39910,0
32827,1
13738,0
31491,2
39629,2
13567,0
11379,1
40930,1
50743,0
12910,0
26328,1
44016,1
38855,0
14568,0
6437,0
20902,0
14390,0
24795,0
51540,0
40824,0
47294,0
34446,0
6376,0
6492,0
22594,3
34423,1
28519,1
21083,1
40845,2
6433,0
14975,4
29002,0
36101,2
1255,0
43466,4
35736,0
3902,1
37990,1
203,0
7693,1
48389,1
46889,1
47248,0
23945,0
3025,4
31710,0
2285,0
2169,0
12607,1
2320,0
6582,2
49394,0
46485,0
42563,3
41841,0
11165,0
616,1
33441,0
27760,1
43550,2
6904,4
50336,0
26235,2
7070,1
41068,0
21110,3
31050,1
47766,1
20835,0
45225,1
4900,4
27029,1
44029,3
51056,0
40005,0
22921,0
49694,1
43229,0
25915,1
1653,0
1841,0
3253,2
49024,1
49427,0
47995,0
2592,2
28820,4
48115,0
36297,0
5567,0
815,0
6914,0
23630,0
